Fevals,Best,Current,Mean range,Temperature
1,0.5519529192265678,-0.5519529192265678,1.0,10.0
2,0.5990714638379133,-0.5990714638379133,1.0,10.0
3,0.5990714638379133,-0.5928591345703368,1.0,10.0
4,0.5990714638379133,-0.5446365779110508,1.0,10.0
5,0.5990714638379133,-0.5593954283822302,1.0,10.0
6,0.5990714638379133,-0.5017965104666131,1.0,10.0
7,0.5990714638379133,-0.5493635698791393,1.0,10.0
8,0.5990714638379133,-0.5690077872690826,1.0,10.0
9,0.5990714638379133,-0.5586645578489245,1.0,10.0
10,0.5990714638379133,-0.5772962569643112,1.0,10.0
11,0.5990714638379133,-0.5674850211149862,1.0,10.0
12,0.5990714638379133,-0.5367082390755055,1.0,10.0
13,0.5990714638379133,-0.5874129087745498,1.0,10.0
14,0.5990714638379133,-0.5717093930828179,1.0,10.0
15,0.5990714638379133,-0.5688948429994962,1.0,10.0
16,0.5990714638379133,-0.5527569963615881,1.0,10.0
17,0.5990714638379133,-0.484484473521409,1.0,10.0
18,0.5990714638379133,-0.4876580484566736,1.0,10.0
19,0.5990714638379133,-0.5512301371649683,1.0,10.0
20,0.5990714638379133,-0.5600168532834258,1.0,10.0
21,0.5990714638379133,-0.49678506209324735,1.0,10.0
22,0.5990714638379133,-0.4848510178738383,1.0,10.0
23,0.5990714638379133,-0.5236468849750929,1.0,10.0
24,0.5990714638379133,-0.5152354149276094,1.0,10.0
25,0.5990714638379133,-0.5422699490647614,1.0,10.0
26,0.5990714638379133,-0.4870533234093457,1.0,10.0
27,0.5990714638379133,-0.49123734682277065,1.0,10.0
28,0.5990714638379133,-0.481892253632508,1.0,10.0
29,0.5990714638379133,-0.481892253632508,1.0,10.0
30,0.5990714638379133,-0.5486025887525207,1.0,10.0
31,0.5990714638379133,-0.52460986842258,1.0,10.0
32,0.5990714638379133,-0.4806591485197937,1.0,10.0
33,0.5990714638379133,-0.4738403497030517,1.0,10.0
34,0.5990714638379133,-0.4738403497030517,1.0,10.0
35,0.5990714638379133,-0.5521830246839652,1.0,10.0
36,0.5990714638379133,-0.5438111186889641,1.0,10.0
37,0.5990714638379133,-0.5463753871428895,1.0,10.0
38,0.5990714638379133,-0.5213584314275198,1.0,10.0
39,0.5990714638379133,-0.49462558172833687,1.0,10.0
40,0.5990714638379133,-0.49094261314984455,1.0,10.0
41,0.5990714638379133,-0.568818625451247,1.0,10.0
42,0.5990714638379133,-0.5422724576899589,1.0,10.0
43,0.5990714638379133,-0.5851074486741981,1.0,10.0
44,0.5990714638379133,-0.5864164214501223,1.0,10.0
45,0.5990714638379133,-0.5312429008599759,1.0,10.0
46,0.5990714638379133,-0.5321597170827772,1.0,10.0
47,0.5990714638379133,-0.5539731248111489,1.0,10.0
48,0.5990714638379133,-0.5572850227128462,1.0,10.0
49,0.5990714638379133,-0.5571591918734232,1.0,10.0
50,0.5990714638379133,-0.5598303611570856,1.0,10.0
51,0.5990714638379133,-0.557151467286481,1.0,10.0
52,0.5990714638379133,-0.5579683084273852,1.0,10.0
53,0.5990714638379133,-0.5962115120445941,1.0,10.0
54,0.5990714638379133,-0.5164927333244886,1.0,10.0
55,0.5990714638379133,-0.5850266032252733,1.0,10.0
56,0.5990714638379133,-0.5900875097086672,1.0,10.0
57,0.5990714638379133,-0.5892141002637987,1.0,10.0
58,0.5990714638379133,-0.562765201512886,1.0,10.0
59,0.5990714638379133,-0.5567464106431309,1.0,10.0
60,0.5990714638379133,-0.497597413386087,1.0,10.0
61,0.5990714638379133,-0.5336653222883899,1.0,3.9810717055349727
62,0.5990714638379133,-0.5484667379158792,1.0,3.9810717055349727
63,0.5990714638379133,-0.5468465644524263,1.0,3.9810717055349727
64,0.5990714638379133,-0.5639791129886018,1.0,3.9810717055349727
65,0.5990714638379133,-0.5864095900942264,1.0,3.9810717055349727
66,0.5990714638379133,-0.5842524566068319,1.0,3.9810717055349727
67,0.5990714638379133,-0.5551769561728854,1.0,3.9810717055349727
68,0.5990714638379133,-0.5585264314112854,1.0,3.9810717055349727
69,0.5990714638379133,-0.5585264314112854,1.0,3.9810717055349727
70,0.5990714638379133,-0.5496966345198219,1.0,3.9810717055349727
71,0.5990714638379133,-0.5313297291946472,1.0,3.9810717055349727
72,0.5990714638379133,-0.549270353693654,1.0,3.9810717055349727
73,0.5990714638379133,-0.5475113409931641,1.0,3.9810717055349727
74,0.5990714638379133,-0.5626195587788001,1.0,3.9810717055349727
75,0.5990714638379133,-0.5554922352076657,1.0,3.9810717055349727
76,0.5990714638379133,-0.5631514068271897,1.0,3.9810717055349727
77,0.5990714638379133,-0.5603598580460791,1.0,3.9810717055349727
78,0.5990714638379133,-0.5309196311576587,1.0,3.9810717055349727
79,0.5990714638379133,-0.5384000079601352,1.0,3.9810717055349727
80,0.5990714638379133,-0.49801976508282375,1.0,3.9810717055349727
81,0.5990714638379133,-0.522996432793,1.0,3.9810717055349727
82,0.5990714638379133,-0.42817771483510336,1.0,3.9810717055349727
83,0.5990714638379133,-0.42624784033435986,1.0,3.9810717055349727
84,0.5990714638379133,-0.4287830141260592,1.0,3.9810717055349727
85,0.5990714638379133,-0.4737744988773182,1.0,3.9810717055349727
86,0.5990714638379133,-0.5307628963402372,1.0,3.9810717055349727
87,0.5990714638379133,-0.5379194886545241,1.0,3.9810717055349727
88,0.5990714638379133,-0.542540933182072,1.0,3.9810717055349727
89,0.5990714638379133,-0.5419014282911243,1.0,3.9810717055349727
90,0.5990714638379133,-0.5419014282911243,1.0,3.9810717055349727
91,0.5990714638379133,-0.5405392373254918,1.0,3.9810717055349727
92,0.5990714638379133,-0.5140277872284226,1.0,3.9810717055349727
93,0.5990714638379133,-0.4360832748281448,1.0,3.9810717055349727
94,0.5990714638379133,-0.4334039938710814,1.0,3.9810717055349727
95,0.5990714638379133,-0.42670861730360227,1.0,3.9810717055349727
96,0.5990714638379133,-0.47566509380192434,1.0,3.9810717055349727
97,0.5990714638379133,-0.5203086584110025,1.0,3.9810717055349727
98,0.5990714638379133,-0.5229220973840178,1.0,3.9810717055349727
99,0.5990714638379133,-0.5673246125624279,1.0,3.9810717055349727
100,0.5990714638379133,-0.5774065357379392,1.0,3.9810717055349727
101,0.5990714638379133,-0.5623346250731139,1.0,3.9810717055349727
102,0.5990714638379133,-0.5713580751264511,1.0,3.9810717055349727
103,0.5990714638379133,-0.563792173136851,1.0,3.9810717055349727
104,0.5990714638379133,-0.5268462558400399,1.0,3.9810717055349727
105,0.5990714638379133,-0.5255120426224593,1.0,3.9810717055349727
106,0.5990714638379133,-0.5235648718501656,1.0,3.9810717055349727
107,0.5990714638379133,-0.5349602415824338,1.0,3.9810717055349727
108,0.5990714638379133,-0.5369471076367226,1.0,3.9810717055349727
109,0.5990714638379133,-0.5534099467866977,1.0,3.9810717055349727
110,0.5990714638379133,-0.5665937990631364,1.0,3.9810717055349727
111,0.5990714638379133,-0.5579807303064885,1.0,3.9810717055349727
112,0.5990714638379133,-0.5579807303064885,1.0,3.9810717055349727
113,0.5990714638379133,-0.539853005977007,1.0,3.9810717055349727
114,0.5990714638379133,-0.5426120312122448,1.0,3.9810717055349727
115,0.5990714638379133,-0.5538293714950205,1.0,3.9810717055349727
116,0.5990714638379133,-0.5294628624257588,1.0,3.9810717055349727
117,0.5990714638379133,-0.50915682875397,1.0,3.9810717055349727
118,0.5990714638379133,-0.501241547340487,1.0,3.9810717055349727
119,0.5990714638379133,-0.5001094276950661,1.0,3.9810717055349727
120,0.5990714638379133,-0.5264702178787888,1.0,3.9810717055349727
121,0.5990714638379133,-0.5400053715805044,1.0,1.5848931924611136
122,0.5990714638379133,-0.5615731555971906,1.0,1.5848931924611136
123,0.5990714638379133,-0.5614968988326876,1.0,1.5848931924611136
124,0.5990714638379133,-0.5518483521377021,1.0,1.5848931924611136
125,0.5990714638379133,-0.5518483521377021,1.0,1.5848931924611136
126,0.5990714638379133,-0.5714926363645899,1.0,1.5848931924611136
127,0.5990714638379133,-0.5716626211852762,1.0,1.5848931924611136
128,0.5990714638379133,-0.5213708200774892,1.0,1.5848931924611136
129,0.5990714638379133,-0.46796290259868495,1.0,1.5848931924611136
130,0.5990714638379133,-0.46494921026406005,1.0,1.5848931924611136
131,0.5990714638379133,-0.5165275356667522,1.0,1.5848931924611136
132,0.5990714638379133,-0.5414592999083725,1.0,1.5848931924611136
133,0.5990714638379133,-0.5414592999083725,1.0,1.5848931924611136
134,0.5990714638379133,-0.5474116158500069,1.0,1.5848931924611136
135,0.5990714638379133,-0.5483745526191353,1.0,1.5848931924611136
136,0.5990714638379133,-0.5474116158500069,1.0,1.5848931924611136
137,0.5990714638379133,-0.5299881720001774,1.0,1.5848931924611136
138,0.5990714638379133,-0.534553130297555,1.0,1.5848931924611136
139,0.5990714638379133,-0.5453388999464058,1.0,1.5848931924611136
140,0.5990714638379133,-0.5243160408332987,1.0,1.5848931924611136
141,0.5990714638379133,-0.5282468012589994,1.0,1.5848931924611136
142,0.5990714638379133,-0.5238616654806906,1.0,1.5848931924611136
143,0.5990714638379133,-0.5238616654806906,1.0,1.5848931924611136
144,0.5990714638379133,-0.5861090788594683,1.0,1.5848931924611136
145,0.5990714638379133,-0.5385855548377495,1.0,1.5848931924611136
146,0.5990714638379133,-0.5306662090129871,1.0,1.5848931924611136
147,0.5990714638379133,-0.5273322551111385,1.0,1.5848931924611136
148,0.5990714638379133,-0.531812908672178,1.0,1.5848931924611136
149,0.5990714638379133,-0.5314633618812151,1.0,1.5848931924611136
