Gen,Fevals,Best,F,CR,dx,df
1,20,0.591642335805137,0.3807832281512092,0.19632631501547465,4.248792689201967,0.14148215831322364
2,40,0.591642335805137,0.3807832281512092,0.19632631501547465,0.7853550007543695,0.0895306446443177
3,60,0.5962321218621848,0.4864404648497686,0.6564895467789869,8.204029723741447,0.07265890311470413
4,80,0.5962321218621848,0.4864404648497686,0.6564895467789869,4.672110762306708,0.07066695423198321
5,100,0.5975179173744676,0.4174691083345861,0.07044870924775991,3.3188592744334002,0.0649193704095371
6,120,0.5975179173744676,0.4174691083345861,0.07044870924775991,3.3188592744334002,0.0649193704095371
7,140,0.6088702769322077,0.5030592368833896,0.37328987795108387,0.9021054366982958,0.06199556212445945
8,160,0.6088702769322077,0.5030592368833896,0.37328987795108387,1.0015690480356694,0.06130695782941242
9,180,0.6088702769322077,0.5030592368833896,0.37328987795108387,0.9304493631242073,0.04534134787894151
10,200,0.6088702769322077,0.5030592368833896,0.37328987795108387,1.3049887226681067,0.03689761607261455
11,220,0.6088702769322077,0.5030592368833896,0.37328987795108387,1.3049887226681067,0.03689761607261455
12,240,0.6088702769322077,0.5030592368833896,0.37328987795108387,1.3049887226681067,0.03689761607261455
13,260,0.6088702769322077,0.5030592368833896,0.37328987795108387,1.3049887226681067,0.03689761607261455
14,280,0.6088702769322077,0.5030592368833896,0.37328987795108387,1.9056617468659172,0.02526883773710842
15,300,0.6088702769322077,0.5030592368833896,0.37328987795108387,1.9056617468659172,0.02526883773710842
